id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh5065410,Bus,8.0,1.38,6,32,27,201,0
veh5626461,Bus,8.0,1.69,4,52,174,201,0
veh5998687,Bus,8.0,1.55,20,26,87,56,1
veh2343454,Bus,7.99,1.69,10,52,174,201,0
veh2622361,Bus,7.99,1.21,21,2,230,56,0
veh188328,Bus,8.0,1.4,9,30,145,172,0
veh5342327,Bus,8.0,1.4,9,30,145,172,0
veh3279537,Bus,7.99,1.21,15,2,230,56,0
veh4030271,Bus,7.99,1.69,12,2,86,33,1
veh1405146,Bus,7.99,1.16,6,6,87,41,1
veh6560484,Bus,8.0,1.69,8,52,174,201,0
veh1499393,Bus,8.0,1.33,17,12,202,175,0
veh4591872,Bus,8.0,1.74,7,32,86,59,0
veh2248982,Bus,8.0,1.55,5,22,174,48,1
veh2810642,Bus,7.99,1.4,5,30,145,172,0
veh4875163,Bus,7.99,1.34,14,17,12,186,0
veh5158980,Bus,8.0,1.22,19,2,230,56,0
veh2532515,Bus,8.0,1.15,17,6,87,41,1
veh4969694,Bus,8.0,1.27,17,47,215,41,0
veh2060339,Bus,8.0,1.21,11,2,230,56,0
veh6377192,Bus,8.0,1.69,6,52,174,201,0
veh4124112,Bus,8.0,1.69,18,2,86,33,1
veh6560460,Bus,8.0,1.74,6,32,86,59,0
veh6377272,Bus,8.0,1.4,13,30,145,172,0
veh1688125,Bus,8.0,1.39,17,31,29,201,1
veh3563240,Bus,8.0,1.55,19,4,144,41,1
veh1966579,Bus,8.0,1.66,21,24,144,178,1
veh3279572,Bus,8.0,1.49,18,15,4,178,0
veh4781252,Bus,8.0,1.38,20,32,27,201,0
veh2154419,Bus,8.0,1.69,10,52,174,201,0
veh1221856,Bus,8.0,1.55,20,26,87,56,1
veh843999,Bus,8.0,1.62,17,24,144,178,1
veh655195,Bus,8.0,1.71,19,54,144,117,0
veh6470408,Bus,8.0,1.57,11,22,174,48,1
veh1499297,Bus,8.0,1.33,8,12,202,175,0
veh655046,Bus,8.0,1.38,6,32,27,201,0
veh282808,Bus,7.99,1.38,16,32,27,201,0
veh1499444,Bus,8.0,1.28,22,11,29,186,1
veh5626662,Bus,7.98,1.37,22,32,27,201,0
veh3096090,Bus,8.0,1.44,7,46,87,114,0
veh2622243,Bus,8.0,1.38,10,17,12,186,0
veh3279482,Bus,8.0,1.4,10,51,29,56,0
veh5815048,Bus,8.0,1.33,9,12,202,175,0
veh1499380,Bus,8.0,1.74,16,32,86,59,0
veh4313450,Bus,8.0,1.44,17,46,87,114,0
veh376789,Bus,8.0,1.37,20,17,12,186,0
veh1405274,Bus,8.0,1.62,17,24,144,178,1
veh6377236,Bus,8.0,1.74,9,32,86,59,0
veh2999750,Bus,7.99,1.66,8,24,144,178,1
veh3846381,Bus,7.99,1.4,21,30,145,172,0
veh1310886,Bus,8.0,1.71,10,2,86,33,1
veh1594293,Bus,8.0,1.23,19,45,207,33,0
veh4502901,Bus,8.0,1.4,22,51,29,56,0
veh2810658,Bus,8.0,1.38,6,32,27,201,0
veh2154519,Bus,8.0,1.33,19,12,202,175,0
veh472778,Bus,8.0,1.55,21,4,144,41,1
veh5531668,Bus,7.99,1.33,22,12,202,175,0
veh2154449,Bus,7.99,1.21,13,45,207,33,0
veh1127800,Bus,7.99,1.21,5,2,230,56,0
veh2905443,Bus,8.0,1.38,22,17,12,186,0
veh5904240,Bus,8.0,1.4,11,30,145,172,0
veh5998678,Bus,8.0,1.66,19,24,144,178,1
veh6377296,Bus,8.0,1.66,15,24,144,178,1
veh1310948,Bus,8.0,1.38,17,31,29,201,1
veh4313400,Bus,7.99,1.27,12,11,29,186,1
veh5437002,Bus,8.0,1.7,15,54,144,117,0
veh844035,Bus,8.0,1.16,20,6,87,41,1
veh6186724,Bus,7.99,1.22,5,45,207,33,0
veh6560547,Bus,8.0,1.38,14,31,29,201,1
veh3752811,Bus,8.0,1.21,15,2,230,56,0
veh5904339,Bus,7.99,1.55,20,26,87,56,1
veh4030248,Bus,8.0,1.38,10,31,29,201,1
veh5248250,Bus,8.0,1.39,7,31,29,201,1
veh2532388,Bus,8.0,1.27,5,47,215,41,0
veh749613,Bus,7.99,1.38,22,32,27,201,0
veh3657065,Bus,8.0,1.65,19,24,144,178,1
veh282703,Bus,8.0,1.55,7,4,144,41,1
veh3468124,Bus,8.0,1.15,8,6,87,41,1
veh4686829,Bus,8.0,1.21,15,2,230,56,0
veh5904282,Bus,8.0,1.27,15,47,215,41,0
veh6092248,Bus,8.0,1.55,7,22,174,48,1
veh1032110,Bus,7.99,1.35,6,11,29,186,1
veh937623,Bus,8.0,1.5,13,4,144,41,1
veh376726,Bus,8.0,1.55,15,4,144,41,1
veh5065568,Bus,8.0,1.69,20,52,174,201,0
veh2154435,Bus,8.0,1.27,12,11,29,186,1
veh1594147,Bus,8.0,1.74,7,32,86,59,0
veh3656989,Bus,7.98,1.48,12,15,4,178,0
veh6186911,Bus,8.0,1.4,22,51,29,56,0
veh3468150,Bus,8.0,1.34,9,12,202,175,0
veh3374093,Bus,8.0,1.69,4,2,86,33,1
veh4124067,Bus,8.0,1.54,14,26,87,56,1
veh5065401,Bus,8.0,1.4,6,51,29,56,0
veh5342437,Bus,8.0,1.69,19,2,86,33,1
veh282768,Bus,8.0,1.5,12,15,4,178,0
veh4781162,Bus,8.0,1.49,12,15,4,178,0
veh2905261,Bus,8.0,1.34,6,17,12,186,0
